points,rewards_this_week,attendance_rate,behavior_referrals,needs_reinforcement
81,8,100,0,0
108,6,95.1,1,0
72,8,93.8,3,0
65,4,94.5,3,1
117,6,95.9,0,0
69,7,100,2,0
90,10,96.7,1,0
85,5,97.9,1,0
117,4,99.7,2,1
57,11,90.3,2,1
143,6,98,0,0
47,12,93.8,3,0
94,6,84.9,2,1
87,2,86.5,0,1
44,4,90.9,0,1
99,5,97.1,1,0
60,1,95.5,1,1
33,2,95.7,2,1
108,8,100,1,0
24,6,89.9,2,1
38,3,94.9,2,1
71,3,96.2,0,0
116,6,92.1,2,1
103,12,95.1,1,0
80,6,88.6,1,1
17,3,100,0,0
45,8,92.3,3,1
53,3,100,3,1
32,8,94.9,3,1
13,6,99.1,1,0
73,12,94.8,2,0
106,7,94.9,2,0
50,9,92.7,0,0
116,9,95.5,2,0
21,6,96.3,5,1
30,9,91.9,1,0
72,6,94.5,0,0
47,5,92.6,1,1
100,6,100,1,0
90,10,94.6,1,0
49,6,100,2,1
23,6,94.2,3,1
45,8,96,1,0
91,9,89.7,1,1
103,8,93.2,4,1
47,7,95.8,2,0
13,4,100,1,0
20,7,95.9,1,0
86,7,100,1,0
49,9,97.6,0,0
50,5,100,0,0
30,11,94.8,2,0
30,9,100,2,0
114,11,93.1,3,0
88,6,91.9,0,1
41,7,90.2,4,1
69,9,100,3,0
77,6,98.3,1,0
176,10,93.7,2,0
28,12,100,2,0
76,6,97.8,2,1
114,8,100,2,0
163,6,88.8,3,1
39,7,93.9,4,1
48,11,93.1,2,0
101,8,87.1,2,1
17,7,99.2,2,0
82,3,93.9,3,1
215,6,98,2,1
87,9,100,0,0
7,6,93.6,3,1
34,4,93.3,2,1
40,9,95.5,7,1
131,7,98.9,2,0
58,7,92.7,1,0
14,6,92.5,1,1
63,1,99.2,1,0
72,8,96.5,0,0
44,5,86.8,2,1
29,6,90.1,0,1
220,7,100,1,0
114,8,96.6,2,0
121,10,92,1,0
58,5,94.3,2,1
39,11,95.1,1,0
46,6,97.9,1,0
21,7,89.6,2,1
174,8,91.6,3,0
60,3,96.1,1,0
150,4,94.6,4,1
48,8,97.3,3,0
88,10,90.1,5,1
74,9,96.4,1,0
19,6,99.4,1,0
187,6,96.9,1,0
49,3,95.6,1,0
25,10,94.6,1,0
101,7,91.7,3,0
65,5,94.7,3,1
83,8,100,2,0
70,11,94.5,2,0
8,9,91.4,0,0
33,5,93,5,1
32,7,95.8,0,0
120,2,93.5,1,1
67,11,96.9,1,0
92,7,97.1,0,0
51,8,98.6,1,0
95,8,100,1,0
58,7,99,1,0
55,9,91.3,3,0
74,10,91.4,0,0
70,7,94.7,2,0
220,7,93.2,1,0
32,4,90.4,4,1
17,9,93.2,1,0
82,6,93.1,0,0
36,5,92.3,3,1
7,12,93.7,0,0
27,7,99.7,1,0
220,12,95.8,2,0
32,4,100,0,0
12,7,95.7,1,1
220,8,93.8,0,0
26,5,95,2,1
220,6,96,1,0
49,6,96.7,1,0
188,10,100,1,0
54,8,91.6,1,0
88,5,98.4,0,0
59,6,95.8,2,0
55,9,88.7,0,1
77,11,98.1,3,0
91,10,100,1,0
73,12,91.6,0,0
68,10,95,1,0
37,5,88.1,1,1
61,4,90,1,1
173,9,99.2,3,0
35,8,93.1,1,0
79,10,90.6,1,0
140,3,95.9,1,0
91,9,92.9,0,0
120,7,93.1,0,0
25,7,98,2,0
79,9,90.4,1,0
52,6,91.4,1,1
54,6,95.6,2,1
164,9,98.9,1,0
55,8,100,0,0
81,1,92.3,2,1
12,5,98.7,2,1
188,9,91.9,0,0
116,10,100,1,0
62,13,90.5,3,0
51,8,100,7,1
97,6,92.4,3,1
139,4,100,3,1
189,2,97.4,5,1
113,6,90.9,0,1
69,4,92.9,2,1
125,8,98.1,2,0
110,5,99.2,0,0
69,9,94.7,2,0
108,4,95.2,1,0
107,7,98,2,0
62,11,95.5,0,0
44,9,89.8,2,1
101,7,91.7,1,0
28,8,95.9,1,0
23,6,99.9,1,0
81,9,100,2,0
99,4,98.1,1,0
81,4,96.1,2,1
87,4,98,5,1
98,7,92.3,3,0
164,6,94.4,2,1
115,9,91.7,2,0
112,3,90,3,1
77,7,96.3,2,0
79,8,95.7,1,0
59,9,97.8,0,0
85,4,97.2,3,1
27,9,96,1,0
165,4,97.2,0,0
33,10,94.8,0,0
115,4,96.7,1,0
152,4,92.1,0,1
114,3,96.5,0,0
220,5,97.7,4,1
9,14,92.3,0,0
46,6,95.2,1,0
150,7,92.5,1,0
22,8,92.9,1,0
34,6,90.5,4,1
94,9,100,0,0
68,7,99.3,2,0
90,6,97.1,2,1
72,8,100,2,0
77,9,94.2,1,0
37,7,100,2,0
75,4,94.1,2,1
48,8,96,4,1
53,6,93.4,2,1
114,9,96.5,1,0
21,6,98.3,1,0
5,11,94.5,2,0
108,7,100,3,0
75,9,96,1,0
152,2,96.1,2,1
35,12,91.4,1,0
61,6,96.7,1,0
70,3,94.5,1,1
41,4,92.6,0,1
31,9,91.9,0,0
112,3,100,0,0
19,6,93.9,2,1
27,3,89.2,1,1
59,8,92.2,3,0
121,9,94.8,2,0
43,6,97.2,3,1
39,4,97.2,0,0
57,5,97.7,2,0
84,6,92.4,2,1
50,8,96.4,1,0
131,9,91.5,0,0
134,5,92.5,0,1
59,8,91.3,3,0
210,11,90.2,4,1
69,7,99.3,2,0
131,10,97.8,1,0
83,7,98.9,1,0
82,6,95.2,2,1
15,5,98.1,0,0
25,9,88,3,1
52,7,98.5,3,0
